PC1,PC2,popularity
-5.794548306074721,-0.09420691775845405,55
-4.471102677136876,-3.2487676351875536,29
-0.5879251515350067,-0.2035002739149928,87
-0.8617623261581584,-0.11045173481897681,75
0.8580122492263401,-0.2548583398085387,91
-1.1728921262100918,0.58256124016954,87
2.170487936925584,0.5124402134789969,98
1.6328399540834708,3.0560669330456656,78
0.10540324998464176,2.6075567323616187,85
0.3203970338128476,-0.039152409082558064,87
-0.06069796118067105,1.8984072679052093,85
-0.016140296228230495,0.21853958647538554,71
0.8108317591747659,0.8495826290916779,71
0.8395410180947254,0.584353445471124,92
2.1478839558947507,-1.4059324569292024,61
-2.5675030565728507,0.4959992576364259,70
0.9089427501670148,0.8311581698792819,83
-0.4616905844415667,1.866167373401937,87
-2.332929142027871,0.297730037146356,88
0.30034732147909227,0.21170496587564375,84
-0.21359446270607688,0.2613936259131088,70
0.14639808405221508,-0.017179785083224264,84
-0.3820342869466748,0.7429976868951743,86
-2.321598880104828,-1.284929745805947,84
-1.9248474622745235,2.744637115613423,96
1.0898961041731243,0.634868600741791,87
1.4310575994944106,0.01705048010662807,88
0.7461044520807625,0.2611619065378319,97
0.028638356695890637,1.5956913914269266,94
1.898886067699693,0.36976288535855883,79
1.8902638498202822,-0.4553815847637745,78
1.4124867985382608,1.37194438095276,58
-1.2100948043910518,-0.27734300437566173,84
-0.48408442334399565,2.1958734975621397,95
0.8951515378682849,-0.011444325117043685,95
-1.4675621364694071,1.8871372189836788,55
-0.6580053783413743,0.31344701041590134,96
-3.81211278933698,0.5074918237040017,80
0.6129494313367058,1.1089106703099514,62
-3.9044642729281738,1.1338841580582997,63
0.6712573843604158,0.03589286347454992,91
1.2627546064332207,-0.9146503866360843,57
0.22468920498897235,0.36657898502086544,81
0.09705900681222514,0.9488346065003619,80
-0.42676574519025934,-1.120983798638584,79
-0.8830885348737539,0.2922765640244209,73
1.208777730716125,0.12903878586609374,59
0.9437836166073236,1.4205594608747762,91
0.2016874127418673,0.9775394854976832,98
1.8227550313478873,-0.7654010458098041,75
0.9906240185876579,0.18052255544530663,73
0.12808591662990154,-1.304807288818287,74
-0.10880224418526205,-1.3067800339158047,80
0.2746905405959663,-1.1743704128931698,81
-0.7864469043953336,0.12325214784697552,91
-0.7024148334557372,1.3024173849635798,90
-0.640851189404336,-2.7704045464164495,60
0.98200126912925,-0.3891755235386918,88
0.6500064190251416,3.011978854693862,88
0.45403490033928207,-0.17360141950253613,74
0.6631201047386251,3.1886221217588844,86
1.082359135592779,-0.5750178042999733,66
1.1162426629240139,-0.5905859997125719,86
0.2703155959968164,0.9219149174544665,94
0.4753124513454987,-1.4214247106738298,76
0.7424929466195206,-1.3813968451739351,90
1.2481511989742262,1.4457301404268534,84
-2.8373162583296536,-0.31409896343174704,76
0.9007600541503867,-0.04579963555930304,85
1.3893331457475901,-0.3100957882648663,53
0.6223549986198028,-0.28507158319690673,68
-2.0149851656382824,-0.26010123196832,67
-2.0149851656382824,-0.26010123196832,67
1.079735783919081,0.08889504474070244,77
2.194229968852727,-0.06511020584987004,82
-1.7239024269508558,0.3288402604388895,66
0.06340640031109139,0.3715893066995236,76
-0.5457617508759003,0.0121451936957014,94
-2.8786983186003456,-0.2545994884427616,70
0.420658839257195,-0.02004711403808965,77
0.2097675001156588,-0.6640775462086143,68
1.3892710838598714,-0.42975882501895685,77
1.0196141356541721,-0.5109128039440867,86
-1.6984011646474457,-1.7240014935448733,74
1.2005385783968325,-0.9760073223313791,72
1.8577045764793534,-1.8125017471492346,60
1.046892923627501,0.4984077688734546,52
-0.14043264855313684,-0.266453439621534,76
1.1077852734280778,0.7107605621699332,81
-0.9736097773846567,-0.19403092139112252,71
1.465185958194552,-1.24826676194061,58
-0.20575917253301323,-1.9127630242336666,90
-0.32782837863618863,0.06854533205418088,60
0.6104845848173891,-1.0026823952212445,53
1.5471897034560345,-1.4842998963077296,61
1.3621794470634758,-0.09442156684163205,75
-0.18586785860801103,0.0012651952193050223,88
0.07564155909957378,-2.097617638049827,66
-1.5022388201169858,-0.21403035570076623,92
-0.22585401214210474,1.1498889293148913,87
-0.6328342541813555,0.24600985712978152,53
-1.3868634284801498,1.5131321731561644,74
-1.8726773968629902,2.7100007869891867,83
0.30034732147909227,0.21170496587564375,84
0.8413874356996431,-0.9844661225013255,65
-0.4998444446449112,-0.5205736006031629,67
-0.2510380950976315,-1.1366266122077822,68
1.2752476115699083,-0.9151325562513687,1
-0.16980005839332354,-0.8044222708521032,55
0.08795808463601801,-0.7251844187399915,59
0.19117341359096848,-0.2403442676718551,62
-0.9853176517170976,-2.059947639187755,55
-0.04989254284447311,-0.9867969581197398,70
0.11206011157177505,-1.0137850911812012,60
0.20929196780834705,0.7901464116489691,54
-0.9602895228097962,0.4390986132661134,6
-2.5854191325082945,-1.0721696658095798,56
0.34269195200344316,-1.0681949746226038,64
0.6833661207176077,-1.986301622832632,63
2.0368187484330282,0.05911441757371364,74
-0.9192329991225476,-1.11394710676879,55
-0.1449479970604736,-0.9324276690539869,55
-0.6969004389751167,0.2939599886410027,53
1.8894698185685999,-2.45185251649496,54
1.6354767228537248,-0.7909937629958272,54
-1.5481154326543425,-0.580665892587313,85
-5.533942876990739,-0.38285126141108033,62
-6.203038140728485,-1.6729518963922054,54
0.7642319073631589,-1.0780011838704473,58
0.8972889990732621,2.263700636779466,88
1.2517695320406872,0.12487983121541658,59
0.5001253694267735,-0.19090844088036724,60
-0.07683669308438659,0.2745806546649271,55
1.7239028970562407,-2.2408183875011125,26
-1.6314921507448075,1.2925243396791473,83
-1.710444867761557,-0.22204235984060844,88
1.0408604603484122,1.0612206257914376,85
0.2500092500167535,-1.2588721719299203,68
-5.060930099793851,-1.4187497837467051,51
-0.33501981147330756,-0.18447365182767236,83
0.16583538408495643,-0.8604647105258424,55
0.0529411429489489,0.5006473501135585,93
0.9437836166073236,1.4205594608747762,91
-3.7999061010475788,1.318735085216006,81
1.4087749034092139,1.894122974990163,82
0.19003541680034972,2.921908093169271,63
1.0612932811001756,0.9809620997724817,91
-0.5526495187981579,0.6054934921814873,69
-3.7889687095710336,-2.3337394702961203,56
-2.8577873154202416,-0.4025761953516456,46
0.8520405106951549,2.941844966734368,63
-0.4314209553618121,-0.6152862895824398,20
-0.0035298436835433287,2.8890180713846587,68
-0.9242031023011492,0.31147131424474994,75
-0.42660834727907476,-0.7916761226359514,78
0.6073297862112229,0.5399450848947623,62
-0.2941697104925713,-2.0646608768651054,88
0.7911004421631909,0.4253144140535851,64
0.4882464015983888,0.6528748976784461,67
-0.05900013131059276,-1.0154080522755768,84
0.4135020023489575,-0.5122200731871239,90
0.6228348968048116,-1.0064449145787753,60
1.9639208680645999,1.4420531350423564,82
0.26010632844961057,3.0305219673627763,71
0.3413903553466973,0.601703632993177,63
1.5435395123450175,0.9102351896687041,61
-0.12320641391899766,-0.024235036130978604,59
-1.1049544205203805,-0.42586403629060915,96
0.027812528139581818,0.707262864317874,96
1.8977815659484218,-0.9457050288818696,66
1.6185808212562103,1.44727885613567,94
-2.179328078303939,-0.8363697810230901,30
-0.5512362555160824,-0.7233339307726069,61
0.9007600541503867,-0.04579963555930304,85
-0.885216642935587,0.07599583514525055,59
1.6132237912191552,-1.2223268221618289,81
-7.578570069986533,-1.4476580551500835,51
1.1728711486677008,0.32472568895158466,75
1.256613613897961,-1.7544938945696331,80
-8.174614200204848,-0.8979695554750051,48
0.98200126912925,-0.3891755235386918,88
-0.4925045128430283,-0.35711265770296197,78
-1.2092272114681266,-0.7531393144179613,51
0.4833720814444795,2.248919926245561,85
0.6059287089957562,2.2311559579922413,72
