track_id_x,track_name_x,track_number,track_popularity,explicit,artist_name_x,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,merge_key,artist_name_y,track_id_y,track_name_y,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_genre,is_chart_song
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,9,83,True,Halsey,80,22396044,,68enXe5XcJdciSDAZr0Alr,Manic,2020-01-17,16,album,3.36,without me_halsey,Halsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999,96,indie,True
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,9,83,True,Halsey,80,22396044,,68enXe5XcJdciSDAZr0Alr,Manic,2020-01-17,16,album,3.36,without me_halsey,Halsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999,96,pop,True
4TCeFZNjGNQIpCuZmJkkE2,God's Country,1,66,False,Blake Shelton,69,7506632,country,4Kd33JPxTOcjTM29FrKoyT,Fully Loaded: God's Country,2019-12-13,12,album,3.41,god's country_blake shelton,Blake Shelton,1dyxS3YzBbL0t8rEVwVQ1K,God's Country,0.0608,0.5379999999999999,205107,0.752,5.39e-06,10,0.118,-5.106,1,0.0396,139.984,4,0.217,72,country,False
3H3r2nKWa3Yk5gt8xgmsEt,This City,1,66,False,Sam Fischer,55,340651,,5waiE6DS2ntWF3Q0yekJUm,This City,2019-12-11,1,single,3.24,this city_sam fischer,Sam Fischer,7kF3x1XJXGcgQWFemulw4q,This City,0.731,0.602,194853,0.377,0.0,11,0.0808,-6.212999999999999,1,0.0446,73.877,4,0.518,54,,True
6piAUJJQFD8oHDUr0b7l7q,VALENTINO,5,65,True,24kGoldn,65,2285613,,2eLpj5EDUhyAoTks8sxcKR,DROPPED OUTTA COLLEGE,2019-11-22,8,album,2.98,valentino_24kgoldn,24kgoldn,0c7K73roy6RW4ebDkf4yGh,Valentino,0.1969999999999999,0.745,179133,0.718,0.0,9,0.134,-4.853,0,0.183,151.097,4,0.539,64,,True
6piAUJJQFD8oHDUr0b7l7q,VALENTINO,5,65,True,24kGoldn,65,2285613,,2eLpj5EDUhyAoTks8sxcKR,DROPPED OUTTA COLLEGE,2019-11-22,8,album,2.98,valentino_24kgoldn,24kGoldn,0c7K73roy6RW4ebDkf4yGh,Valentino,0.1969999999999999,0.745,179133,0.718,0.0,9,0.134,-4.853,0,0.183,151.097,4,0.539,64,,True
4EuGBkrWOuapwX9GSIVEB0,Dirt On My Boots,18,40,False,Jon Pardi,73,2338518,"country, acoustic country",1iHPUub9fsspO1ecn1Pueq,Good Morning Music: Country Jams,2019-11-15,20,compilation,3.36,dirt on my boots_jon pardi,Jon Pardi,4Ry0uTWn0HwvmutsEMamhJ,Dirt On My Boots,0.106,0.6829999999999999,201460,0.78,0.0,1,0.193,-4.117,1,0.0287,89.99700000000001,4,0.528,31,country,False
4EuGBkrWOuapwX9GSIVEB0,Dirt On My Boots,18,40,False,Jon Pardi,73,2338518,"country, acoustic country",1iHPUub9fsspO1ecn1Pueq,Good Morning Music: Country Jams,2019-11-15,20,compilation,3.36,dirt on my boots_jon pardi,Jon Pardi,4Ry0uTWn0HwvmutsEMamhJ,Dirt On My Boots,0.106,0.6829999999999999,201460,0.78,0.0,1,0.193,-4.117,1,0.0287,89.99700000000001,4,0.528,31,rock,False
64lsIF5pw0sJY0gV5kz0RN,Can I Call You Tonight?,2,2,False,Dayglow,61,1066852,indie rock,5PFzbdbZRNaoGLCHFPnmv3,Fuzzybrain,2019-11-14,10,album,4.64,can i call you tonight?_dayglow,Dayglow,5Ti99QiUdIwe0xG4gS22FL,Can I Call You Tonight?,0.132,0.6409999999999999,278769,0.8420000000000001,0.91,9,0.419,-7.27,1,0.0292,129.98,4,0.5,62,,False
7f5trao56t7sB7f14QDTmp,Juicy,12,68,True,Doja Cat,86,34742256,,1MmVkhiwTH0BkNOU3nw5d3,Hot Pink,2019-11-07,12,album,3.38,juicy_doja cat,Doja Cat,4cTm3Ev9bUvy4ChJjB1nhl,Juicy,0.0817,0.77,199587,0.6970000000000001,0.0,0,0.0663,-2.644,1,0.0607,170.084,4,0.428,70,,False
